Annotation1,Annotation2,exp,pre
Zm00001d033366,Zm00001d033365,77.133,5.2654552
Zm00001d021554,Zm00001d021574,40.07846667,40.233112
Zm00001d016737,Zm00001d016768,24.98596667,19.965527
Zm00001d052219,Zm00001d052212,1.507036667,2.1317747
Zm00001d016602,Zm00001d016601,5.72815,10.84108
Zm00001d044685,Zm00001d000730,3.917523333,0.49563718
Zm00001d027411,Zm00001d027346,15.52853333,11.265959
Zm00001d003352,Zm00001d003366,0,6.349449
Zm00001d028153,Zm00001d028144,0,-0.07737994
Zm00001d031118,Zm00001d031115,12.87553333,5.873475
Zm00001d018142,Zm00001d018144,24.916,22.866465
Zm00001d004102,Zm00001d004118,36.81566667,34.202465
Zm00001d043469,Zm00001d043465,20.1847,19.808435
Zm00001d037465,Zm00001d037446,49.40313333,33.023903
Zm00001d049480,Zm00001d049485,0.15095,1.3062203
Zm00001d049258,Zm00001d049252,0,0.35868478
Zm00001d036631,Zm00001d036507,10.03997333,9.056059
Zm00001d021396,Zm00001d021535,13.41533333,9.013381
Zm00001d010591,Zm00001d010613,0.567121333,0.8249843
Zm00001d036679,Zm00001d036736,38.2078,31.742456
Zm00001d052480,Zm00001d052523,12.58603333,8.921504
Zm00001d006605,Zm00001d006602,21.6203,23.802233
Zm00001d020418,Zm00001d020417,5.02028,1.4918377
Zm00001d015083,Zm00001d014977,55.7694,53.735416
Zm00001d026541,Zm00001d026480,0.666676667,1.6076148
Zm00001d025704,Zm00001d025705,11.66946667,8.755313
Zm00001d010235,Zm00001d010238,0,1.5659869
Zm00001d027271,Zm00001d027273,0,0.95051455
Zm00001d046249,Zm00001d027120,1.012822,4.647271
Zm00001d005877,Zm00001d005881,12.28266667,1.644676
Zm00001d005546,Zm00001d005545,0,0.41782403
Zm00001d047932,Zm00001d048066,80.02573333,84.276375
Zm00001d041088,Zm00001d041086,0,1.3962634
Zm00001d036838,Zm00001d036833,4.615093333,3.1303303
Zm00001d021574,Zm00001d021775,6.852303333,3.9524739
Zm00001d014897,Zm00001d014867,79.6349,81.61523
Zm00001d035561,Zm00001d035560,0.057021,0.7880914
Zm00001d030598,Zm00001d030591,0.020517733,0.23487496
Zm00001d046767,Zm00001d046774,0.627543667,5.8706207
Zm00001d038946,Zm00001d038971,1.952783333,1.3615024
Zm00001d025068,Zm00001d025085,7.537583333,6.8582134
Zm00001d010812,Zm00001d010808,16.23836667,7.6420774
